name,phase,slot,threat,mitigation,url,item_id
Faceguard of Determination,Pre-Raid,Head,154.7,252.1,https://www.wowhead.com/tbc/item=32083/faceguard-of-determination,32083
Gladiator's Lamellar Helm,Pre-Raid,Head,170.3,148.6,https://www.wowhead.com/tbc/item=31996/gladiator-s-lamellar-helm,31996
Devilshark Cape,Pre-Raid,Back,37.4,72.0,https://www.wowhead.com/tbc/item=27804/devilshark-cape,27804
Bracers of Dignity,Pre-Raid,Wrist,97.2,95.7,https://www.wowhead.com/tbc/item=29252/bracers-of-dignity,29252
Vambraces of Courage,Pre-Raid,Wrist,81.8,97.0,https://www.wowhead.com/tbc/item=28502/vambraces-of-courage,28502
Iron Gauntlets of the Maiden,Pre-Raid,Hands,124.5,173.1,https://www.wowhead.com/tbc/item=28518/iron-gauntlets-of-the-maiden,28518
Girdle of Valorous Deeds,Pre-Raid,Waist,126.5,157.3,https://www.wowhead.com/tbc/item=29253/girdle-of-valorous-deeds,29253
Boots of the Righteous Path,Pre-Raid,Feet,134.2,123.8,https://www.wowhead.com/tbc/item=29254/boots-of-the-righteous-path,29254
Pendant of Dominance,Pre-Raid,Neck,85.3,60.2,https://www.wowhead.com/tbc/item=28245/pendant-of-dominance,28245
Ashyen's Gift,Pre-Raid,Ring,66.6,39.0,https://www.wowhead.com/tbc/item=29172/ashyen-s-gift,29172
Seal of the Exorcist,Pre-Raid,Ring,68.6,39.2,https://www.wowhead.com/tbc/item=28555/seal-of-the-exorcist,28555
Andormu's Tear,Pre-Raid,Ring,19.6,79.2,https://www.wowhead.com/tbc/item=29323/andormu-s-tear,29323
Gladiator's Gavel,Pre-Raid,Weapon,330.6,98.7,https://www.wowhead.com/tbc/item=32450/gladiator-s-gavel,32450
Gavel of Unearthed Secrets,Pre-Raid,Weapon,264.1,73.3,https://www.wowhead.com/tbc/item=30832/gavel-of-unearthed-secrets,30832
Justicar Faceguard,Phase 1,Head,193.3,209.4,https://www.wowhead.com/tbc/item=29068/justicar-faceguard,29068
Crystalforge Faceguard,Phase 2,Head,224.0,245.4,https://www.wowhead.com/tbc/item=30125/crystalforge-faceguard,30125
Tankatronic Goggles,Phase 2,Head,180.4,236.4,https://www.wowhead.com/tbc/item=32473/tankatronic-goggles,32473
Justicar Shoulderguards,Phase 1,Shoulder,173.9,190.3,https://www.wowhead.com/tbc/item=29070/justicar-shoulderguards,29070
Gilded Thorium Cloak,Phase 1,Back,57.4,81.7,https://www.wowhead.com/tbc/item=28660/gilded-thorium-cloak,28660
Ruby Drape of the Mysticant,Phase 1,Back,76.1,40.1,https://www.wowhead.com/tbc/item=28766/ruby-drape-of-the-mysticant,28766
Justicar Chestguard,Phase 1,Chest,225.3,260.1,https://www.wowhead.com/tbc/item=29066/justicar-chestguard,29066
Panzar'Thar Breastplate,Phase 1,Chest,183.5,255.6,https://www.wowhead.com/tbc/item=28597/panzar-thar-breastplate,28597
Crystalforge Chestguard,Phase 2,Chest,234.6,224.5,https://www.wowhead.com/tbc/item=30123/crystalforge-chestguard,30123
Wristguards of Determination,Phase 2,Wrist,93.4,157.7,https://www.wowhead.com/tbc/item=32515/wristguards-of-determination,32515
Justicar Handguards,Phase 1,Hands,131.9,122.8,https://www.wowhead.com/tbc/item=29067/justicar-handguards,29067
Crimson Girdle of the Indomitable,Phase 1,Waist,121.9,184.4,https://www.wowhead.com/tbc/item=28566/crimson-girdle-of-the-indomitable,28566
Girdle of the Invulnerable,Phase 2,Waist,118.6,156.0,https://www.wowhead.com/tbc/item=30096/girdle-of-the-invulnerable,30096
Belt of the Guardian,Phase 2,Waist,156.5,150.4,https://www.wowhead.com/tbc/item=30034/belt-of-the-guardian,30034
Wrynn Dynasty Greaves,Phase 1,Legs,164.7,215.2,https://www.wowhead.com/tbc/item=28621/wrynn-dynasty-greaves,28621
Justicar Legguards,Phase 1,Legs,179.7,167.9,https://www.wowhead.com/tbc/item=29069/justicar-legguards,29069
Crystalforge Legguards,Phase 2,Legs,230.8,264.7,https://www.wowhead.com/tbc/item=30126/crystalforge-legguards,30126
Boots of Elusion,Phase 1,Feet,101.6,155.2,https://www.wowhead.com/tbc/item=30641/boots-of-elusion,30641
Battlescar Boots,Phase 1,Feet,110.1,133.3,https://www.wowhead.com/tbc/item=28747/battlescar-boots,28747
Boots of the Resilient,Phase 2,Feet,154.5,227.5,https://www.wowhead.com/tbc/item=32267/boots-of-the-resilient,32267
Boots of the Protector,Phase 2,Feet,165.5,191.8,https://www.wowhead.com/tbc/item=30033/boots-of-the-protector,30033
Barbed Choker of Discipline,Phase 1,Neck,49.9,82.9,https://www.wowhead.com/tbc/item=28516/barbed-choker-of-discipline,28516
Brooch of Unquenchable Fury,Phase 1,Neck,66.6,35.4,https://www.wowhead.com/tbc/item=28530/brooch-of-unquenchable-fury,28530
The Darkener's Grasp,Phase 2,Neck,64.0,136.4,https://www.wowhead.com/tbc/item=30007/the-darkener-s-grasp,30007
Elementium Band of the Sentry,Phase 1,Ring,35.7,71.1,https://www.wowhead.com/tbc/item=28407/elementium-band-of-the-sentry,28407
Violet Signet of the Great Protector,Phase 1,Ring,63.1,82.2,https://www.wowhead.com/tbc/item=29279/violet-signet-of-the-great-protector,29279
Ring of Sundered Souls,Phase 2,Ring,57.6,95.8,https://www.wowhead.com/tbc/item=30083/ring-of-sundered-souls,30083
Seventh Ring of the Tirisfalen,Phase 2,Ring,57.9,120.9,https://www.wowhead.com/tbc/item=30028/seventh-ring-of-the-tirisfalen,30028
The Seal of Danzalar,Phase 2,Ring,88.0,66.0,https://www.wowhead.com/tbc/item=33054/the-seal-of-danzalar,33054
Bloodmaw Magus-Blade,Phase 1,Weapon,322.0,78.4,https://www.wowhead.com/tbc/item=28802/bloodmaw-magus-blade,28802
Merciless Gladiator's Gavel,Phase 2,Weapon,370.1,107.0,https://www.wowhead.com/tbc/item=32963/merciless-gladiator-s-gavel,32963
Fang of the Leviathan,Phase 2,Weapon,361.5,96.3,https://www.wowhead.com/tbc/item=30095/fang-of-the-leviathan,30095
Faceplate of the Impenetrable,Phase 3,Head,226.9,343.0,https://www.wowhead.com/tbc/item=32521/faceplate-of-the-impenetrable,32521
Lightbringer Faceguard,Phase 3,Head,257.5,263.8,https://www.wowhead.com/tbc/item=30987/lightbringer-faceguard,30987
Lightbringer Shoulderguards,Phase 3,Shoulder,199.8,211.1,https://www.wowhead.com/tbc/item=30998/lightbringer-shoulderguards,30998
Pepe's Shroud of Pacification,Phase 3,Back,58.7,82.7,https://www.wowhead.com/tbc/item=34010/pepe-s-shroud-of-pacification,34010
Phoenix-Wing Cloak,Phase 2,Back,56.9,100.7,https://www.wowhead.com/tbc/item=29925/phoenix-wing-cloak,29925
Royal Cloak of the Sunstriders,Phase 2,Back,101.0,48.2,https://www.wowhead.com/tbc/item=29992/royal-cloak-of-the-sunstriders,29992
Lightbringer Chestguard,Phase 3,Chest,282.0,310.4,https://www.wowhead.com/tbc/item=30991/lightbringer-chestguard,30991
The Seeker's Wristguards,Phase 3,Wrist,139.4,187.7,https://www.wowhead.com/tbc/item=32279/the-seeker-s-wristguards,32279
Eternium Shell Bracers,Phase 3,Wrist,105.5,150.6,https://www.wowhead.com/tbc/item=32232/eternium-shell-bracers,32232
Lightbringer Handguards,Phase 3,Hands,182.8,189.9,https://www.wowhead.com/tbc/item=30985/lightbringer-handguards,30985
Royal Gauntlets of Silvermoon,Phase 2,Hands,151.5,201.3,https://www.wowhead.com/tbc/item=29998/royal-gauntlets-of-silvermoon,29998
Crystalforge Handguards,Phase 2,Hands,160.7,195.2,https://www.wowhead.com/tbc/item=30124/crystalforge-handguards,30124
Girdle of Mighty Resolve,Phase 3,Waist,199.2,237.2,https://www.wowhead.com/tbc/item=32342/girdle-of-mighty-resolve,32342
Lightbringer Legguards,Phase 3,Legs,255.2,266.9,https://www.wowhead.com/tbc/item=30995/lightbringer-legguards,30995
Praetorian's Legguards,Phase 3,Legs,197.3,225.3,https://www.wowhead.com/tbc/item=32263/praetorian-s-legguards,32263
Tide-stomper's Greaves,Phase 3,Feet,199.7,206.0,https://www.wowhead.com/tbc/item=32245/tide-stomper-s-greaves,32245
Pendant of Titans,Phase 3,Neck,56.6,97.8,https://www.wowhead.com/tbc/item=32362/pendant-of-titans,32362
Band of the Abyssal Lord,Phase 3,Ring,62.2,89.5,https://www.wowhead.com/tbc/item=32261/band-of-the-abyssal-lord,32261
Tempest of Chaos,Phase 3,Weapon,422.4,111.6,https://www.wowhead.com/tbc/item=30910/tempest-of-chaos,30910
Vengeful Gladiator's Gavel,Phase 3,Weapon,406.5,117.0,https://www.wowhead.com/tbc/item=33687/vengeful-gladiator-s-gavel,33687
Battleworn Tuskguard,Phase 4,Head,183.3,242.1,https://www.wowhead.com/tbc/item=33421/battleworn-tuskguard,33421
Pauldrons of Stone Resolve,Phase 4,Shoulder,151.7,225.4,https://www.wowhead.com/tbc/item=33481/pauldrons-of-stone-resolve,33481
Slikk's Cloak of Placation,Phase 4,Back,66.2,102.4,https://www.wowhead.com/tbc/item=33593/slikk-s-cloak-of-placation,33593
Chestguard of the Warlord,Phase 4,Chest,199.0,258.2,https://www.wowhead.com/tbc/item=33473/chestguard-of-the-warlord,33473
Chestguard of the Stoic Guardian,Phase 4,Chest,246.2,256.8,https://www.wowhead.com/tbc/item=33522/chestguard-of-the-stoic-guardian,33522
Bracers of the Ancient Phalanx,Phase 4,Wrist,96.4,49.5,https://www.wowhead.com/tbc/item=34436/bracers-of-the-ancient-phalanx,34436
Bonefist Gauntlets,Phase 4,Hands,125.2,125.2,https://www.wowhead.com/tbc/item=33517/bonefist-gauntlets,33517
Girdle of the Protector,Phase 4,Waist,156.3,161.4,https://www.wowhead.com/tbc/item=33524/girdle-of-the-protector,33524
Unwavering Legguards,Phase 4,Legs,205.7,285.2,https://www.wowhead.com/tbc/item=33515/unwavering-legguards,33515
Sabatons of the Righteous Defender,Phase 4,Feet,166.7,157.2,https://www.wowhead.com/tbc/item=33523/sabatons-of-the-righteous-defender,33523
Jungle Stompers,Phase 4,Feet,134.7,208.4,https://www.wowhead.com/tbc/item=33191/jungle-stompers,33191
Amani Punisher,Phase 4,Weapon,359.6,99.2,https://www.wowhead.com/tbc/item=33283/amani-punisher,33283
Helm of Uther's Resolve,Phase 5,Head,283.6,301.9,https://www.wowhead.com/tbc/item=34401/helm-of-uther-s-resolve,34401
Crown of Dath'Remar,Phase 5,Head,226.2,300.9,https://www.wowhead.com/tbc/item=34400/crown-of-dath-remar,34400
Spaulders of the Thalassian Defender,Phase 5,Shoulder,225.4,208.3,https://www.wowhead.com/tbc/item=34389/spaulders-of-the-thalassian-defender,34389
Pauldrons of Perseverance,Phase 5,Shoulder,187.7,276.1,https://www.wowhead.com/tbc/item=34192/pauldrons-of-perseverance,34192
Crimson Paragon's Cover,Phase 5,Back,80.3,102.7,https://www.wowhead.com/tbc/item=34190/crimson-paragon-s-cover,34190
Heroic Judicator's Chestguard,Phase 5,Chest,326.6,319.1,https://www.wowhead.com/tbc/item=34216/heroic-judicator-s-chestguard,34216
Shattrath Protectorate's Breastplate,Phase 5,Chest,280.5,234.8,https://www.wowhead.com/tbc/item=34945/shattrath-protectorate-s-breastplate,34945
Lightbringer Wristguards,Phase 5,Wrist,162.5,199.0,https://www.wowhead.com/tbc/item=34433/lightbringer-wristguards,34433
Borderland Fortress Grips,Phase 5,Hands,167.7,218.7,https://www.wowhead.com/tbc/item=34352/borderland-fortress-grips,34352
Lightbringer Waistguard,Phase 5,Waist,209.5,260.4,https://www.wowhead.com/tbc/item=34488/lightbringer-waistguard,34488
Judicator's Legguards,Phase 5,Legs,295.9,307.1,https://www.wowhead.com/tbc/item=34382/judicator-s-legguards,34382
Lightbringer Stompers,Phase 5,Feet,184.7,205.6,https://www.wowhead.com/tbc/item=34560/lightbringer-stompers,34560
Blue's Greaves of the Righteous Guardian,Phase 5,Feet,193.4,227.1,https://www.wowhead.com/tbc/item=34947/blue-s-greaves-of-the-righteous-guardian,34947
Collar of the Pit Lord,Phase 5,Neck,77.3,102.5,https://www.wowhead.com/tbc/item=34178/collar-of-the-pit-lord,34178
Ring of Hardened Resolve,Phase 5,Ring,78.7,111.0,https://www.wowhead.com/tbc/item=34213/ring-of-hardened-resolve,34213
Ring of the Stalwart Protector,Phase 5,Ring,71.9,94.3,https://www.wowhead.com/tbc/item=34888/ring-of-the-stalwart-protector,34888
Fused Nethergon Band,Phase 5,Ring,84.2,42.2,https://www.wowhead.com/tbc/item=34889/fused-nethergon-band,34889
Brutal Gladiator's Gavel,Phase 5,Weapon,438.3,126.0,https://www.wowhead.com/tbc/item=35014/brutal-gladiator-s-gavel,35014
Reign of Misery,Phase 5,Weapon,425.5,106.3,https://www.wowhead.com/tbc/item=34176/reign-of-misery,34176
